"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","The consensus revision over the last three months for the next-twelve-month (NTM) dividend-per-share (DPS) estimate. This is a float value.","analyst_dps_ntm_revision_3m","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","The consensus revision over the last three months for the next-twelve-month (NTM) earnings-per-share (EPS) estimate. This is a float value.","analyst_eps_next12m_revision_3m","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","The forward-looking or expected dividend yield based on analyst consensus estimates. This is a float value.","analyst_expected_dividend_yield","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","The average analyst recommendation score. This is a float value on a vendor-specific scale that may require normalization before use.","analyst_recommendation_avg","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","The implied return based on the consensus analyst target price versus the current price, from the research-safe T+1 (D1) module. This is a float value where a positive number implies expected upside.","analyst_target_price_return_d1","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","Earnings yield for the last twelve months, calculated as earnings over price, using Bloomberg-sourced trailing data","anl94_b_mtl_dlyspe","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","Cash flow return on net operating assets, a quality/profitability metric indicating how efficiently a company generates cash flow from its operational assets","anl94_cfrnoa","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","Trailing (historical) dividend yield expressed as a percentage, calculated as dividends paid over market price","anl94_divyld","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","Expected, forward-looking dividend yield percentage based on analyst or vendor estimates","anl94_divyld_exp","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","Dividend payout ratio, calculated as Dividends divided by Earnings (factor is descending, so higher value = worse for sorting)","anl94_div_payout","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","Composite model score from the Fundamental INcome and Dividend (FIND) framework, summarizing value, dividend, quality, and sentiment characteristics","anl94_find","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","Normalized average score of sell side analyst recommendations for the stock within the relevant regional universe","anl94_gva_mmocer_se","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","Momentum factor calculated as the 12-month (trailing) price return minus the most recent 1-month return, then normalized regionally","anl94_m1m21_ntr","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst94"",""name"":""Fundamental Income and Dividend Model""}","1","2026-07-01","1","3-month momentum in analyst consensus estimate revisions for next twelve months’ dividend per share","anl94_m3r_mtn_spd_se","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
