"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Daily closing price for the security, D1-delayed, point-in-time, event-masked, split- and FX-adjusted","closing_price_dlr1","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Closing price for the trading day, split- and FX-adjusted, point-in-time and D1-delayed, event-masked","closing_price_dlr2","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Closing price for the day (split/FX-adjusted, PIT, D1-delayed, event-masked)","closing_price_dlr3","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Stock return over the last 5 trading days for Americas-region equities, D1-delayed, point-in-time, split/FX-adjusted and event-masked (rolling window masked if any day is masked)","five_day_total_return_dlr1","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Stock return over the last 5 trading days for Europe, D1-delayed and point-in-time, split/FX-adjusted and event-masked (masked if any day in the window is masked)","five_day_total_return_dlr2","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Rolling stock return over the last 5 trading days for Europe; D1-delayed, point-in-time, split/FX-adjusted, masked if any day in the window is masked","five_day_total_return_dlra1","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Daily highest traded price (session high) for the security, D1-delayed, point-in-time, event-masked, split- and FX-adjusted","highest_price_dlr1","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Highest traded price of the day, split- and FX-adjusted, point-in-time and D1-delayed, event-masked","highest_price_dlr2","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Highest trade price of the day (split/FX-adjusted, PIT, D1-delayed, event-masked)","highest_price_dlr3","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Daily lowest traded price (session low) for the security, D1-delayed, point-in-time, event-masked, split- and FX-adjusted","lowest_price_dlr1","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","1","{""id"":""analyst_earnings_ibes"",""name"":""Global Analyst Earnings Forecasts""}","1","2026-07-01","1","Lowest traded price of the day, split- and FX-adjusted, point-in-time and D1-delayed, event-masked","lowest_price_dlr2","2","DEU","{""id"":""model-mlai-models"",""name"":""ML/AI Models""}","[]","MATRIX","TOP500","0"
