"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""analyst"",""name"":""Analyst""}","0.4978","{""id"":""analyst_factor_signals"",""name"":""Global Analyst Factor Signals""}","1","2026-07-01","1","Actual reported Q1 EPS growth quarter over quarter","eps_actual_q1_qoq_growth","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0.3807","{""id"":""analyst_factor_signals"",""name"":""Global Analyst Factor Signals""}","1","2026-07-01","1","Actual EPS growth for fiscal Q1, year-over-year","eps_actual_q1_yoy_growth","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0.6463","{""id"":""analyst_factor_signals"",""name"":""Global Analyst Factor Signals""}","1","2026-07-01","1","Slope of the 1-year consensus EPS forecast time series (quarterly)","eps_estimate_trend_slope_1yr","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0.4042","{""id"":""analyst_factor_signals"",""name"":""Global Analyst Factor Signals""}","1","2026-07-01","1","Slope of the combined consensus forecast and actual EPS series (quarterly)","eps_estimate_trend_slope_2yr","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0.4042","{""id"":""analyst_factor_signals"",""name"":""Global Analyst Factor Signals""}","1","2026-07-01","1","Slope of the current actual EPS series over the past year (quarterly)","eps_estimate_trend_slope_3yr","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0.317","{""id"":""analyst_factor_signals"",""name"":""Global Analyst Factor Signals""}","1","2026-07-01","1","Slope of the current actual 2-year EPS series (quarterly)","eps_estimate_trend_slope_4yr","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0.3168","{""id"":""analyst_factor_signals"",""name"":""Global Analyst Factor Signals""}","1","2026-07-01","1","Volatility-adjusted 2-year projected EPS growth","eps_estimate_volatility_adj_2yr","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0.2539","{""id"":""analyst_factor_signals"",""name"":""Global Analyst Factor Signals""}","1","2026-07-01","1","Volatility of consensus EPS estimates over the past 3 years, adjusted for scale.","eps_estimate_volatility_adj_3yr","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0.4495","{""id"":""analyst_factor_signals"",""name"":""Global Analyst Factor Signals""}","1","2026-07-01","1","Standardized EPS surprise z-score for Q1","eps_estimate_zscore","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0.4772","{""id"":""analyst_factor_signals"",""name"":""Global Analyst Factor Signals""}","1","2026-07-01","1","Asymmetry of the distribution of consensus Q1 EPS estimates","eps_q1_estimate_asymmetry","2","DEU","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP500","0"
