"datasetId","datasetName","region","delay","universe","fieldCount","matrixCount","vectorCount","groupCount","symbolCount","csvFile","jsonFile"
"acquisition_model","Corporate Acquisition Likelihood Model","DEU","1","TOP500","15","0","15","0","0","acquisition_model.csv","acquisition_model.json"
"ai_factor_transfer","AI Enhanced Equity Factor Transfer","DEU","1","TOP500","20","20","0","0","0","ai_factor_transfer.csv","ai_factor_transfer.json"
"ai_news_scores","AI News Sentiment Scores","DEU","1","TOP500","105","105","0","0","0","ai_news_scores.csv","ai_news_scores.json"
"alpha_factor_lib","Equity Alpha Factor Library","DEU","1","TOP500","65","0","65","0","0","alpha_factor_lib.csv","alpha_factor_lib.json"
"analyst_consensus","Standardized Analyst Consensus Forecasts","DEU","1","TOP500","1972","18","1954","0","0","analyst_consensus.csv","analyst_consensus.json"
"analyst_earnings_ibes","Global Analyst Earnings Forecasts","DEU","1","TOP500","42","42","0","0","0","analyst_earnings_ibes.csv","analyst_earnings_ibes.json"
"analyst_factor_signals","Global Analyst Factor Signals","DEU","1","TOP500","108","108","0","0","0","analyst_factor_signals.csv","analyst_factor_signals.json"
"analyst_revision_horizons","Multi Horizon Analyst Revision Signals","DEU","1","TOP500","1095","1095","0","0","0","analyst_revision_horizons.csv","analyst_revision_horizons.json"
"analyst10","Performance-Weighted Analyst Estimates","DEU","1","TOP500","58","43","10","0","5","analyst10.csv","analyst10.json"
"analyst15","Earnings forecasts","DEU","1","TOP500","537","533","0","0","4","analyst15.csv","analyst15.json"
"analyst16","Real Time Estimates","DEU","1","TOP500","66","0","38","0","28","analyst16.csv","analyst16.json"
"analyst35","ESG Model","DEU","1","TOP500","23","23","0","0","0","analyst35.csv","analyst35.json"
"analyst39","Analyst estimates & financial ratios","DEU","1","TOP500","24","24","0","0","0","analyst39.csv","analyst39.json"
"analyst44","Integrated Broker Estimates","DEU","1","TOP500","72","0","72","0","0","analyst44.csv","analyst44.json"
"analyst46","Analyst Investment insight Data","DEU","1","TOP500","5","5","0","0","0","analyst46.csv","analyst46.json"
"analyst47","Alternative Analyst Investment Insight Data","DEU","1","TOP500","5","5","0","0","0","analyst47.csv","analyst47.json"
"analyst48","Dividend estimation data","DEU","1","TOP500","7","0","7","0","0","analyst48.csv","analyst48.json"
"analyst69","Fundamental Analyst Estimates","DEU","1","TOP500","292","104","188","0","0","analyst69.csv","analyst69.json"
"analyst7","Broker Estimates","DEU","1","TOP500","608","608","0","0","0","analyst7.csv","analyst7.json"
"analyst8","Daily Split Data","DEU","1","TOP500","10","1","9","0","0","analyst8.csv","analyst8.json"
"analyst83","Smart Conference call transcript data","DEU","1","TOP500","345","0","345","0","0","analyst83.csv","analyst83.json"
"analyst9","Analyst Estimate Daily Data","DEU","1","TOP500","51","0","51","0","0","analyst9.csv","analyst9.json"
"analyst93","Europe Analyst Estimate Daily Data","DEU","1","TOP500","100","0","100","0","0","analyst93.csv","analyst93.json"
"analyst94","Fundamental Income and Dividend Model","DEU","1","TOP500","34","17","17","0","0","analyst94.csv","analyst94.json"
"chart_cnn_alpha","Deep Learning Chart-Based Alpha","DEU","1","TOP500","122","122","0","0","0","chart_cnn_alpha.csv","chart_cnn_alpha.json"
"continuation_score","Price Chart Continuation Pattern Similarity","DEU","1","TOP500","560","560","0","0","0","continuation_score.csv","continuation_score.json"
"digital_ad_spend","Digital Advertising Spend Intelligence","DEU","1","TOP500","9","0","9","0","0","digital_ad_spend.csv","digital_ad_spend.json"
"dl_riskfree_returns","Deep Learning Risk Free Returns","DEU","1","TOP500","133","133","0","0","0","dl_riskfree_returns.csv","dl_riskfree_returns.json"
"earnings_sent_matrix","Global Earnings Call Sentiment Matrix","DEU","1","TOP500","7","7","0","0","0","earnings_sent_matrix.csv","earnings_sent_matrix.json"
"earnings6","International Findings Data","DEU","1","TOP500","18","0","18","0","0","earnings6.csv","earnings6.json"
"earningscall_sentiment","Multi Aspect Earnings Call Sentiment","DEU","1","TOP500","167","144","23","0","0","earningscall_sentiment.csv","earningscall_sentiment.json"
"event_ml_signals","Machine Learning Company Event Signals","DEU","1","TOP500","104","0","104","0","0","event_ml_signals.csv","event_ml_signals.json"
"event_relation","Text-Based Event Relationship Analysis","DEU","1","TOP500","12","0","12","0","0","event_relation.csv","event_relation.json"
"event_sentiment_signals","Corporate Event Sentiment Signals","DEU","1","TOP500","52","0","52","0","0","event_sentiment_signals.csv","event_sentiment_signals.json"
"fund_holdings_panel","Global Institutional Fund Holdings","DEU","1","TOP500","18","0","18","0","0","fund_holdings_panel.csv","fund_holdings_panel.json"
"fundamental1","Management and Executive Data","DEU","1","TOP500","123","0","123","0","0","fundamental1.csv","fundamental1.json"
"fundamental17","Direct Fundamental Data","DEU","1","TOP500","135","135","0","0","0","fundamental17.csv","fundamental17.json"
"fundamental22","Environmental and Social Governance Data","DEU","1","TOP500","1","0","1","0","0","fundamental22.csv","fundamental22.json"
"fundamental31","Additional Factor Model","DEU","1","TOP500","48","48","0","0","0","fundamental31.csv","fundamental31.json"
"fundamental45","Systematic mining of earnings calls data","DEU","1","TOP500","12","12","0","0","0","fundamental45.csv","fundamental45.json"
"fundamental6","Company Fundamental Data for Equity","DEU","1","TOP500","196","196","0","0","0","fundamental6.csv","fundamental6.json"
"fundamental72","Comprehensive Fundamental Data","DEU","1","TOP500","1031","347","684","0","0","fundamental72.csv","fundamental72.json"
"fundamental86","Stock Reports Plus","DEU","1","TOP500","7","7","0","0","0","fundamental86.csv","fundamental86.json"
"fundamental89","Accrual based Earnings Model","DEU","1","TOP500","407","407","0","0","0","fundamental89.csv","fundamental89.json"
"fundamental90","Governance, Accounting, Management, and Equality","DEU","1","TOP500","66","66","0","0","0","fundamental90.csv","fundamental90.json"
"fundamental93","Earnings Tax Data","DEU","1","TOP500","46","46","0","0","0","fundamental93.csv","fundamental93.json"
"global_seasonal_model","Global Seasonal Regime Return Signals","DEU","1","TOP500","449","449","0","0","0","global_seasonal_model.csv","global_seasonal_model.json"
"imbalance5","Oil Price Resilience Scores","DEU","1","TOP500","2","2","0","0","0","imbalance5.csv","imbalance5.json"
"insider_agg_matrix","Smart Insider Transaction Aggregates","DEU","1","TOP500","34","34","0","0","0","insider_agg_matrix.csv","insider_agg_matrix.json"
"insider_matrix","Aggregated Insider Transaction Matrix","DEU","1","TOP500","33","33","0","0","0","insider_matrix.csv","insider_matrix.json"
"insider_trx_matrix","Global Insider Transaction Aggregates","DEU","1","TOP500","33","33","0","0","0","insider_trx_matrix.csv","insider_trx_matrix.json"
"insiders1","Global Insider Trading Data","DEU","1","TOP500","8","0","8","0","0","insiders1.csv","insiders1.json"
"institutions1","Insider Trading for Europe","DEU","1","TOP500","7","0","7","0","0","institutions1.csv","institutions1.json"
