"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""other"",""name"":""Other""}","0.5008","{""id"":""dl_riskfree_returns"",""name"":""Deep Learning Risk Free Returns""}","1","2026-07-01","1","Probability that the 10-day forward return falls into the first quantile group out of two using EUR OHLC moving average features.","probability_label0_2quantile_10day_eur_ohlc_ma","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.5008","{""id"":""dl_riskfree_returns"",""name"":""Deep Learning Risk Free Returns""}","1","2026-07-01","1","Model probability for label 0 in 2-quantile classification of 20-day return using European price chart features.","probability_label0_2quantile_20day_eur_ohlcma","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","1","{""id"":""dl_riskfree_returns"",""name"":""Deep Learning Risk Free Returns""}","0.9997","2026-07-01","1","Log-probability for quantile bucket 0 (0-based) out of 2 buckets of the 20-day forward risk-free market-neutral return forecast","probability_label0_2quantile_20day_ohlcv","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.5008","{""id"":""dl_riskfree_returns"",""name"":""Deep Learning Risk Free Returns""}","1","2026-07-01","1","Probability that the 50-day forward return falls into the first quantile group out of two using EUR OHLC moving average features.","probability_label0_2quantile_50day_eur_ohlc_ma","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.5008","{""id"":""dl_riskfree_returns"",""name"":""Deep Learning Risk Free Returns""}","1","2026-07-01","1","Probability that the 5-day forward return falls into the first quantile group out of two using EUR OHLC moving average features.","probability_label0_2quantile_5day_eur_ohlc_ma","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","1","{""id"":""dl_riskfree_returns"",""name"":""Deep Learning Risk Free Returns""}","0.9997","2026-07-01","1","Log-probability (log-softmax) that the 5-day forward market-neutral return falls in quantile bucket 0 of 2 (0-based); exponentiate value to get true probability","probability_label0_2quantile_5day_ohlcv","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","1","{""id"":""dl_riskfree_returns"",""name"":""Deep Learning Risk Free Returns""}","0.9997","2026-07-01","1","Log-probability (log-softmax) that the 60-day forward market-neutral return falls in quantile bucket index 0 of 2 buckets for the ASI_IMG_pred_OHLCV risk-free model variant","probability_label0_2quantile_60day_ohlcv","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.5008","{""id"":""dl_riskfree_returns"",""name"":""Deep Learning Risk Free Returns""}","1","2026-07-01","1","Probability that the 10-day forward return falls into the first quantile group using EUR OHLC moving average features.","probability_label0_3quantile_10day_eur_ohlc_ma","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.5008","{""id"":""dl_riskfree_returns"",""name"":""Deep Learning Risk Free Returns""}","1","2026-07-01","1","Log-probability for quantile bucket 0 (zero-based) out of 3 buckets for 20-day forward market-neutral return","probability_label0_3quantile_20day_eur_ohlc_ma","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","1","{""id"":""dl_riskfree_returns"",""name"":""Deep Learning Risk Free Returns""}","0.9997","2026-07-01","1","Log-probability that the 20-day forward return falls in quantile bucket index 0 out of 3 buckets (0-based); exp(value) gives actionable probability","probability_label0_3quantile_20day_ohlcv_2","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
