"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Earnings date for the 1st quarter (may be historical)","ern6_1q","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Earnings date for the 2nd quarter (may be historical)","ern6_2q","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Earnings date for the 3rd quarter (may be historical)","ern6_3q","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Earnings date for the 4th quarter (may be historical)","ern6_4q","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.5038","2026-07-01","1","Reported non-GAAP diluted (or basic if diluted unavailable) EPS","ern6_actual_eps","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.5052","2026-07-01","1","Fiscal year corresponding to the actual earnings release (YYYY)","ern6_actual_fiscal_year","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Date of Board/Shareholder Meeting","ern6_board_of_directors_meeting","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Published time of the earnings conference call","ern6_conferencecalltime","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.5038","2026-07-01","1","Estimize weighted EPS estimate for the last completed period","ern6_estimated_eps","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.5052","2026-07-01","1","Fiscal year associated with the scheduled (estimated) earnings period","ern6_estimated_fiscal_year","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Next earnings date (interpret using Etype status)","ern6_next_ed","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Fiscal year associated with Next_ED and Next_ED_QUARTER","ern6_next_ed_fiscal_year","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Fiscal year in YYYY format for the earnings transcript","ern6_transcript_fiscal_year","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Ingestion timestamp added at file end in a fixed format","ern6_wqreceivetimestamp","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","Amount of dividend in US dollars; if converted, uses the exchange rate at time of entry","ern6_x_dividend","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.6364","2026-07-01","1","The amount of the dividend in the currency specified by X_Dividend_currency","ern6_x_dividend_oc","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.4959","2026-07-01","1","Preliminary EPS or the low end of the preliminary EPS range reported by the company","preliminary_eps_range_lower_bound","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
"0","{""id"":""earnings"",""name"":""Earnings""}","0","{""id"":""earnings6"",""name"":""International Findings Data""}","0.4959","2026-07-01","1","High end of the preliminary EPS range, or same as prelim_amount_from if single value","preliminary_eps_range_upper_bound","2","DEU","{""id"":""earnings-earnings-estimates"",""name"":""Earnings Estimates""}","[]","VECTOR","TOP500","0"
