"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Announcement related to agreements involving activist investors.","activist_agreement_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Indicator of activist investor communications (campaign launch, letters, filings, public statements) on this date","activist_communication_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Announcement of financing options provided by activist investors.","activist_financing_option_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Indicator of activist actions related to director nominations or proxy contest nominations at the company","activist_nomination_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Indicator of proxy-voting-related activism events (proxy contests, solicitations, or vote outcomes)","activist_proxy_voting_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Statement issued in support of activist investor actions.","activist_supporting_statement","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Communication from activist investors directed at a target company.","activist_target_communication_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Indicator that the company held an analyst/investor day event on this date","analyst_investor_day_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Indicator that the annual general meeting (AGM) occurred or was formally held","annual_general_meeting_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Indicator that the company changed its external auditor","auditor_change_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Flag that the auditor expressed substantial doubt about the company's ability to continue as a going concern","auditor_going_concern_doubt_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Event flag for bankruptcy, insolvency, or court-administered restructuring filings","bankruptcy_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Flag that a board of directors meeting occurred","board_meeting_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Notification of company expansion activities.","business_expansion_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Notification of a business reorganization or restructuring.","business_reorganization_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Flag that the terms of an existing share buyback plan were changed","buyback_plan_term_change_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Update regarding a tranche in a share buyback program.","buyback_tranche_update_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Flag that the company announced execution of share repurchase transactions or reported buyback activity","buyback_transaction_announcement","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Announcement of the cancellation of a share buyback transaction.","buyback_transaction_cancellation_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Notification of announcements related to company clients.","client_announcement_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Flag that the company changed its registered or headquarters address","company_address_change_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Indicator that the company gave a presentation at a conference on this date","company_conference_presentation_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Flag that the company changed its legal or trading name","company_name_change_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Announcement of a new composite unit security offering.","composite_unit_offering_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Notification of company participation in conferences.","conference_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Event flag indicating the company adopted or amended its bylaws or corporate rules on this date","corporate_bylaws_amendment_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","D1-lagged flag that the company lowered its forward guidance such as revenue or EPS outlook versus prior guidance","corporate_guidance_lowered_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Event flag that the company raised forward guidance","corporate_guidance_raised_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Announcement of unusual events affecting company guidance.","corporate_guidance_unusual_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Records changes to a company's legal or organizational structure.","corporate_legal_structure_update","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Indicator that the company defaulted on debt obligations or missed required payments on that date","debt_default_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Notification of events related to company debt financing.","debt_financing_event","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""event_ml_signals"",""name"":""Machine Learning Company Event Signals""}","1","2026-07-01","1","Indicator that the company announced a delay in releasing earnings or filing associated reports","delayed_earnings_announcement","2","DEU","{""id"":""other-event-data"",""name"":""Event Data""}","[]","VECTOR","TOP500","0"
