"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.9278","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Number of boundary transactions (new position initiations or complete liquidations) across all fund accounts on the date","boundary_transaction_total","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.876","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Number of boundary transactions across fund accounts (introductions of new positions or complete liquidations)","boundary_transaction_total_active","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.9278","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Total USD value of boundary transactions (entries into new positions or complete liquidations) across all accounts on the date","boundary_transaction_usd_value","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.876","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Dollar value of boundary transactions in USD","boundary_transaction_usd_value_active","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.9278","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Herfindahl-Hirschman Index of trade value concentration across transacting accounts (0 to 1, higher means more concentrated)","herfindahl_index_transactions","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.876","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Herfindahl-Hirschman Index concentration measure based on distribution of transaction value across accounts","herfindahl_index_transactions_active","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.9278","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Number of transactions where the trade value exceeds 0.5% of the respective fund’s AUM","large_trade_count_50bps","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.876","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Count of transactions with transaction value greater than 0.5% of the fund’s AUM","large_trade_count_50bps_active","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.9278","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Dollar value of transactions in USD","security_transaction_usd_value","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.876","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Dollar value of transactions in USD","security_transaction_usd_value_active","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""institutions"",""name"":""Institutions""}","0.9278","{""id"":""fund_holdings_panel"",""name"":""Global Institutional Fund Holdings""}","0.899","2026-07-01","1","Count of boundary transactions by accounts that had no boundary trade in the same security in the prior 21 weekdays (indicating more durable changes)","stable_boundary_trade_count_21d","2","DEU","{""id"":""institutions-ownership-models"",""name"":""Ownership Models""}","[]","VECTOR","TOP500","0"
