"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Sum of salary and bonus received by the director for the report period","aggregate_director_compensation","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Sum of the director's salary and bonus for the report period","aggregate_director_compensation_2","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Base annual cash salary for the director in the report period","annual_base_salary","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Bonus payment received by the director during the report period","annual_bonus_payment","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Proportion of executive directors from different countries on the board","board_nationality_diversity_ratio","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Bonus amount as a proportion of total direct compensation excluding defined contribution pension","bonus_proportion_total_comp","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Value held in cash-based incentive plans for the director or period","cash_incentive_plan_value_ltip","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Value of any cash-based incentive plan held","cash_incentive_plan_value_ltipw","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Percentage change in total compensation from previous report period for the director","compensation_change_percent_2","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","ISO currency code representing the currency in which all values in the row are displayed","compensation_currency_code","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","ISO code of the currency in which all reported values are displayed","compensation_currency_code_2","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Number of other boards the director serves on as of the selected annual report date","current_other_board_total","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Number of other types of boards (neither quoted nor private) an executive director serves on as of the annual report date","current_other_listed_boards_count","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""fundamental"",""name"":""Fundamental""}","0","{""id"":""fundamental1"",""name"":""Management and Executive Data""}","1","2026-07-01","1","Proportion of executive directors who left since previous period to average number of directors in previous period","director_attrition_ratio","2","DEU","{""id"":""fundamental-fundamental-models"",""name"":""Fundamental Models""}","[]","VECTOR","TOP500","0"
