"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""model"",""name"":""Model""}","0.6327","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","Number of analysts included in the StarMine SmartEstimate for EPS for Fiscal Quarter 1","star_new_eps_analyst_number_fq1","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.6188","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","Number of analysts included in the StarMine SmartEstimate for EPS for Fiscal Quarter 2","star_new_eps_analyst_number_fq2","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.6731","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","Number of analysts included in the StarMine SmartEstimate for EPS for Fiscal Year 1","star_new_eps_analyst_number_fy1","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.6731","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","Number of analysts included in the StarMine SmartEstimate for EPS for Fiscal Year 2","star_new_eps_analyst_number_fy2","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.6649","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","StarMine SmartEstimate (analyst-weighted) EPS forecast for the forward 12 months","star_new_eps_smart_estimate_12m","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.3989","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","StarMine SmartEstimate (analyst-weighted) EPS forecast for Fiscal Quarter 1","star_new_eps_smart_estimate_fq1","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.2906","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","StarMine SmartEstimate (analyst-weighted) EPS forecast for Fiscal Quarter 2","star_new_eps_smart_estimate_fq2","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.6663","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","StarMine SmartEstimate (analyst-weighted) EPS forecast for Fiscal Year 1","star_new_eps_smart_estimate_fy1","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.6663","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","StarMine SmartEstimate (analyst-weighted) EPS forecast for Fiscal Year 2","star_new_eps_smart_estimate_fy2","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.6649","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","Predicted surprise percentage for EPS over the forward 12 months, as the deviation of SmartEstimate from the consensus mean","star_new_eps_surprise_prediction_12m","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.3989","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","Predicted surprise percentage for EPS for Fiscal Quarter 1, as the deviation of SmartEstimate from the consensus mean","star_new_eps_surprise_prediction_fq1","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.2906","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","Predicted surprise percentage for EPS for Fiscal Quarter 2, as the deviation of SmartEstimate from the consensus mean","star_new_eps_surprise_prediction_fq2","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.6663","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","Predicted surprise percentage for EPS for Fiscal Year 1, as the deviation of SmartEstimate from the consensus mean","star_new_eps_surprise_prediction_fy1","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
"0","{""id"":""model"",""name"":""Model""}","0.6663","{""id"":""model30"",""name"":""EPS Estimate Model""}","1","2026-07-01","1","Predicted surprise percentage for EPS for Fiscal Year 2, as the deviation of SmartEstimate from the consensus mean","star_new_eps_surprise_prediction_fy2","2","DEU","{""id"":""model-estimates-models"",""name"":""Estimates Models""}","[]","MATRIX","TOP500","0"
