"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Number of ask-side order deletions/cancellations during the day","ask_order_deletion_count","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Number of execution events that filled resting ask-side orders during the day","ask_order_execution_count","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Number of new limit order insert events on the ask side during the day","ask_order_insertion_count_2","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Number of modification events (e.g., size changes) on the ask side during the day","ask_order_modification_count","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Number of order replacement events on the ask side during the day","ask_order_replacement_count","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Refers to the total volume of modified ask orders","ask_order_volume_after_modification_2","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Refers to the total volume of replaced ask orders","ask_order_volume_after_replacement","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Refers to the total volume of modified ask orders","ask_order_volume_before_modification","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Refers to the total change in volume of ask orders due to orders being modified.","ask_order_volume_change_modification","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Refers to the total change in volume of ask orders due to orders being replaced.","ask_order_volume_change_replacement","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Total share volume removed via cancellations on the ask side during the day","ask_order_volume_deleted","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Total share volume executed from resting ask-side orders during the day","ask_order_volume_executed","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Refers to the volume of aggressive asks executed 1 level or more away from the best offer, as a percentage of the total volume traded in that period.","ask_trade_imbalance_1_level","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Refers to the volume of aggressive asks executed 2 levels or more away from the best offer, as a percentage of the total volume traded in that period.","ask_trade_imbalance_2_levels","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0.231","{""id"":""order_book_imbalance"",""name"":""Order Book Liquidity and Imbalance Analytics""}","0.6585","2026-07-01","1","Refers to the volume of aggressive asks executed 3 levels or more away from the best offer, as a percentage of the total volume traded in that period.","ask_trade_imbalance_3_levels","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","VECTOR","TOP500","0"
