"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""other169"",""name"":""CDS dataset""}","1","2026-07-01","1","Bid (best buyer price) for CDS par spread (annualized premium in basis points)","bid_par_spread_basis_points","2","DEU","{""id"":""other-dividend-models"",""name"":""Dividend Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""other169"",""name"":""CDS dataset""}","0.6418","2026-07-01","1","Bid price expressed as percent of par (notional) amount","bid_price_percent_of_notional","2","DEU","{""id"":""other-dividend-models"",""name"":""Dividend Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""other169"",""name"":""CDS dataset""}","1","2026-07-01","1","Bid for the CDS quote spread vs coupon in basis points","bid_quote_spread_basis_points","2","DEU","{""id"":""other-dividend-models"",""name"":""Dividend Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""other169"",""name"":""CDS dataset""}","1","2026-07-01","1","Bid (buyer price) for upfront payment (as percent of notional) to enter the CDS contract","bid_upfront_payment_percent","2","DEU","{""id"":""other-dividend-models"",""name"":""Dividend Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""other169"",""name"":""CDS dataset""}","1","2026-07-01","1","Highest mid price/spread value observed or contributed during the trading day","highest_mid_value_contributed","2","DEU","{""id"":""other-dividend-models"",""name"":""Dividend Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""other169"",""name"":""CDS dataset""}","1","2026-07-01","1","Numeric ISO currency code indicating the denomination currency of the CDS contract","instrument_currency_code","2","DEU","{""id"":""other-dividend-models"",""name"":""Dividend Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""other169"",""name"":""CDS dataset""}","0.218","2026-07-01","1","The sensitivity of the CDS price to a one basis point change in interest rates (the IR Delta Value of 01), representing interest rate risk exposure","interest_rate_curve_parallel_shift_impact","2","DEU","{""id"":""other-dividend-models"",""name"":""Dividend Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""other169"",""name"":""CDS dataset""}","0.218","2026-07-01","1","The recovery rate (as a percentage) specified or implied by ISDA standards and used in CDS pricing and risk calculations","isda_assumed_recovery_percent","2","DEU","{""id"":""other-dividend-models"",""name"":""Dividend Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""other169"",""name"":""CDS dataset""}","1","2026-07-01","1","Lowest mid price/spread value observed or contributed during the trading day","lowest_mid_value_contributed","2","DEU","{""id"":""other-dividend-models"",""name"":""Dividend Models""}","[]","VECTOR","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""other169"",""name"":""CDS dataset""}","0.218","2026-07-01","1","The mid (average) value of the par spread (in basis points) for the CDS instrument, representing the central market price at which protection trades at par","mid_par_spread_basis_points","2","DEU","{""id"":""other-dividend-models"",""name"":""Dividend Models""}","[]","VECTOR","TOP500","0"
