"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst8"",""name"":""Daily Split Data""}","1","2026-07-01","1","Encoded identifier for the individual analyst contributing the recommendation, used for anonymization","alt_rec_analyst_mask_code","2","GBR","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP700","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst8"",""name"":""Daily Split Data""}","1","2026-07-01","1","Numeric code denoting the type of analyst recommendation (e.g., Buy, Hold, Sell etc.), as defined by the IBES code table","alt_rec_standardized_code","2","GBR","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP700","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst8"",""name"":""Daily Split Data""}","1","2026-07-01","1","Unique identifier code for the analyst issuing the price target","anl8_analyst_code","2","GBR","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP700","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst8"",""name"":""Daily Split Data""}","1","2026-07-01","1","Encoded identifier for the analyst providing the recommendation","anl8_eur_ibessplit_rec_analyst_maskcode","2","GBR","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP700","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst8"",""name"":""Daily Split Data""}","1","2026-07-01","1","Numerical code representing the type of analyst recommendation (e.g. Buy, Sell, Hold) based on IBES lookup","anl8_eur_ibessplit_rec_ibes_reccode","2","GBR","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP700","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst8"",""name"":""Daily Split Data""}","1","2026-07-01","1","Time horizon in days for which the price target is forecasted","anl8_horizon","2","GBR","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP700","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst8"",""name"":""Daily Split Data""}","1","2026-07-01","1","Indicates how frequently the recommendation data is updated or reported (e.g., daily, weekly, monthly)","anl8_irl_level","2","GBR","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","MATRIX","TOP700","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst8"",""name"":""Daily Split Data""}","1","2026-07-01","1","Analyst-reported price target for the security","anl8_value","2","GBR","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP700","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst8"",""name"":""Daily Split Data""}","1","2026-07-01","1","An encoded identifier for the analyst who made the recommendation","rec_d0_analyst_mask_code","2","GBR","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP700","0"
"0","{""id"":""analyst"",""name"":""Analyst""}","0","{""id"":""analyst8"",""name"":""Daily Split Data""}","1","2026-07-01","1","The recommendation code given by the analyst, indicating buy/sell/hold status","rec_d0_standardized_code","2","GBR","{""id"":""analyst-analyst-estimates"",""name"":""Analyst Estimates""}","[]","VECTOR","TOP700","0"
