"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""insiders"",""name"":""Insiders""}","0.5937","{""id"":""insider_agg_matrix"",""name"":""Smart Insider Transaction Aggregates""}","1","2026-07-01","1","Mean shares bought by all directors","avg_buy_shares","2","GBR","{""id"":""insiders-insider-data"",""name"":""Insider Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""insiders"",""name"":""Insiders""}","0.5937","{""id"":""insider_agg_matrix"",""name"":""Smart Insider Transaction Aggregates""}","1","2026-07-01","1","Mean shares bought directly by directors","avg_secondary_buy_shares","2","GBR","{""id"":""insiders-insider-data"",""name"":""Insider Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""insiders"",""name"":""Insiders""}","0.5937","{""id"":""insider_agg_matrix"",""name"":""Smart Insider Transaction Aggregates""}","1","2026-07-01","1","Mean shares sold directly by directors","avg_secondary_sell_shares","2","GBR","{""id"":""insiders-insider-data"",""name"":""Insider Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""insiders"",""name"":""Insiders""}","0.5937","{""id"":""insider_agg_matrix"",""name"":""Smart Insider Transaction Aggregates""}","1","2026-07-01","1","Mean shares bought directly by executives","avg_secondary_top_buy_shares","2","GBR","{""id"":""insiders-insider-data"",""name"":""Insider Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""insiders"",""name"":""Insiders""}","0.5937","{""id"":""insider_agg_matrix"",""name"":""Smart Insider Transaction Aggregates""}","1","2026-07-01","1","Mean shares sold directly by executives","avg_secondary_top_sell_shares","2","GBR","{""id"":""insiders-insider-data"",""name"":""Insider Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""insiders"",""name"":""Insiders""}","0.5937","{""id"":""insider_agg_matrix"",""name"":""Smart Insider Transaction Aggregates""}","1","2026-07-01","1","Mean shares sold by all directors","avg_sell_shares","2","GBR","{""id"":""insiders-insider-data"",""name"":""Insider Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""insiders"",""name"":""Insiders""}","0.5937","{""id"":""insider_agg_matrix"",""name"":""Smart Insider Transaction Aggregates""}","1","2026-07-01","1","Mean shares bought by all executives","avg_top_buy_shares","2","GBR","{""id"":""insiders-insider-data"",""name"":""Insider Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""insiders"",""name"":""Insiders""}","0.5937","{""id"":""insider_agg_matrix"",""name"":""Smart Insider Transaction Aggregates""}","1","2026-07-01","1","Mean shares sold by all executives","avg_top_sell_shares","2","GBR","{""id"":""insiders-insider-data"",""name"":""Insider Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""insiders"",""name"":""Insiders""}","1","{""id"":""insider_agg_matrix"",""name"":""Smart Insider Transaction Aggregates""}","1","2026-07-01","1","A metric indicating the overall direction or bias of insider activity.","directional_indicator","2","GBR","{""id"":""insiders-insider-data"",""name"":""Insider Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""insiders"",""name"":""Insiders""}","1","{""id"":""insider_agg_matrix"",""name"":""Smart Insider Transaction Aggregates""}","1","2026-07-01","1","A metric indicating the overall direction or bias of enhanced insider activity.","directional_indicator_2","2","GBR","{""id"":""insiders-insider-data"",""name"":""Insider Data""}","[]","MATRIX","TOP700","0"
