"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""other"",""name"":""Other""}","1","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Dataset-specific timing/bookkeeping indicator used for internal sequence logging; not a trading signal","director_intensity_score","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares bought in Euro currency","eur_aggregated_value_1","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares bought in Euro currency","eur_aggregated_value_2","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares sold in Euro currency","eur_aggregated_value_3","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares sold in Euro currency","eur_aggregated_value_4","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares bought directly in Euro currency by directors with significant trades","eur_director_signal_value_1","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares bought directly in Euro currency by directors with significant trades","eur_director_signal_value_2","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares sold directly in Euro currency by directors with significant trades","eur_director_signal_value_3","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares sold directly in Euro currency by directors with significant trades","eur_director_signal_value_4","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares bought in Euro currency by all directors","eur_director_value_1","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares bought in Euro currency by all directors","eur_director_value_2","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares sold in Euro currency by all directors","eur_director_value_3","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares sold in Euro currency by all directors","eur_director_value_4","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares bought in Euro currency by directors with significant trades","eur_signal_value_1","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares bought in Euro currency by directors with significant trades","eur_signal_value_2","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares sold in Euro currency by directors with significant trades","eur_signal_value_3","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares sold in Euro currency by directors with significant trades","eur_signal_value_4","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares bought directly in Euro currency by executives with significant trades","eur_top_director_signal_value_1","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares bought directly in Euro currency by executives with significant trades","eur_top_director_signal_value_2","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares sold directly in Euro currency by executives with significant trades","eur_top_director_signal_value_3","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares sold directly in Euro currency by executives with significant trades","eur_top_director_signal_value_4","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares bought in Euro currency by specific directors","eur_top_director_value_1","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares bought in Euro currency by specific directors","eur_top_director_value_2","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares sold in Euro currency by specific directors","eur_top_director_value_3","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares sold in Euro currency by specific directors","eur_top_director_value_4","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares bought in Euro currency by executives with significant trades","eur_top_signal_value_1","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares bought in Euro currency by executives with significant trades","eur_top_signal_value_2","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares sold in Euro currency by executives with significant trades","eur_top_signal_value_3","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares sold in Euro currency by executives with significant trades","eur_top_signal_value_4","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares bought in Euro currency by executives","eur_top_value_1","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares bought in Euro currency by executives","eur_top_value_2","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Mean value of shares sold in Euro currency by executives","eur_top_value_3","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0.5938","{""id"":""insider_matrix"",""name"":""Aggregated Insider Transaction Matrix""}","1","2026-07-01","1","Sum value of shares sold in Euro currency by executives","eur_top_value_4","2","GBR","{""id"":""other-event-data"",""name"":""Event Data""}","[]","MATRIX","TOP700","0"
