"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in 12-month alpha, measuring the difference in excess return over a benchmark between two periods.","change_12m_alpha","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in one-month active return, reflecting the difference in price performance over one month.","change_1m_active_return","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in accounts receivable as a percentage of sales compared to four quarters ago.","change_1y_accounts_receivable_to_sales","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in one-year growth of cash flow per share relative to price.","change_1y_cashflow_to_price","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in one-year growth rate of trailing twelve-month earnings per share.","change_1y_eps_growth","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in one-year growth of earnings per share relative to price.","change_1y_eps_to_price","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in inventory as a percentage of sales compared to four quarters ago.","change_1y_inventory_to_sales","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in one-year growth of operating cash flow per share relative to price.","change_1y_operating_cashflow_to_price","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in the most recent quarterly total assets per share compared to four quarters ago.","change_1y_quarterly_assets","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in the coefficient of variation of last 20 days closing prices divided by coefficient of variation of trading volume.","change_20d_volume_to_price_volatility","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ml_factor_proj"",""name"":""Machine Learning Factor Projections""}","1","2026-07-01","1","Change in 24-month active return, measuring the difference in price performance over two years.","change_24m_active_return","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
