"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""option"",""name"":""Option""}","0","{""id"":""option1"",""name"":""Options Volatility Surfaces Data""}","0.5476","2026-07-01","1","Quality flag of the data point, where 0 indicates highest quality and higher values indicate less reliable or interpolated data","delta_surface_data_quality","2","GBR","{""id"":""option-option-volatility"",""name"":""Option Volatility""}","[]","VECTOR","TOP700","0"
"0","{""id"":""option"",""name"":""Option""}","0","{""id"":""option1"",""name"":""Options Volatility Surfaces Data""}","0.5476","2026-07-01","1","Option moneyness indicating the relative position of strike to underlying price","opt1_deltasurface_d1_moneyness","2","GBR","{""id"":""option-option-volatility"",""name"":""Option Volatility""}","[]","VECTOR","TOP700","0"
"0","{""id"":""option"",""name"":""Option""}","0","{""id"":""option1"",""name"":""Options Volatility Surfaces Data""}","0.5476","2026-07-01","1","Frequency of dividend payments per year; integer codes such as 1=annual, 2=semiannual","opt1_dvd_frequency","2","GBR","{""id"":""option-option-volatility"",""name"":""Option Volatility""}","[]","VECTOR","TOP700","0"
"0","{""id"":""option"",""name"":""Option""}","0","{""id"":""option1"",""name"":""Options Volatility Surfaces Data""}","0.5476","2026-07-01","1","Split factor; numeric ratio for corporate action adjustment","opt1_factor","2","GBR","{""id"":""option-option-volatility"",""name"":""Option Volatility""}","[]","VECTOR","TOP700","0"
"0","{""id"":""option"",""name"":""Option""}","0","{""id"":""option1"",""name"":""Options Volatility Surfaces Data""}","0.5476","2026-07-01","1","whether a root is standard (IsEnabled=0) or non-standard IsEnable=0)","opt1_isenabled","2","GBR","{""id"":""option-option-volatility"",""name"":""Option Volatility""}","[]","VECTOR","TOP700","0"
"0","{""id"":""option"",""name"":""Option""}","0","{""id"":""option1"",""name"":""Options Volatility Surfaces Data""}","0.5476","2026-07-01","1","Dividend amount adjusted to stock’s currency, used in calculations representing last dividend payment","opt1_last_dvd_amount","2","GBR","{""id"":""option-option-volatility"",""name"":""Option Volatility""}","[]","VECTOR","TOP700","0"
"0","{""id"":""option"",""name"":""Option""}","0","{""id"":""option1"",""name"":""Options Volatility Surfaces Data""}","0.5476","2026-07-01","1","Adjusted stock closing price reflecting splits, dividends, and other corporate actions, used for total return and research","opt1_price_close","2","GBR","{""id"":""option-option-volatility"",""name"":""Option Volatility""}","[]","VECTOR","TOP700","0"
"0","{""id"":""option"",""name"":""Option""}","0","{""id"":""option1"",""name"":""Options Volatility Surfaces Data""}","0.5476","2026-07-01","1","Unadjusted stock closing price as of the trade date, reflecting the raw market close without adjustment for corporate actions","opt1_price_close_ini","2","GBR","{""id"":""option-option-volatility"",""name"":""Option Volatility""}","[]","VECTOR","TOP700","0"
"0","{""id"":""option"",""name"":""Option""}","0","{""id"":""option1"",""name"":""Options Volatility Surfaces Data""}","0.5476","2026-07-01","1","Unadjusted closing price used specifically for options calculations like implied volatility and Greeks; may differ from raw close due to special conventions like index futures prices","opt1_price_close_opt","2","GBR","{""id"":""option-option-volatility"",""name"":""Option Volatility""}","[]","VECTOR","TOP700","0"
"0","{""id"":""option"",""name"":""Option""}","0","{""id"":""option1"",""name"":""Options Volatility Surfaces Data""}","0.5476","2026-07-01","1","Adjusted highest stock price on the trading day, accounting for splits and dividends","opt1_price_high","2","GBR","{""id"":""option-option-volatility"",""name"":""Option Volatility""}","[]","VECTOR","TOP700","0"
