"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""pv"",""name"":""Price Volume""}","0.4396","{""id"":""pv30"",""name"":""Alternate Industry Classification""}","1","2026-07-01","1","statistical industry classification","eighth_pca_component_top1200_group513","2","GBR","{""id"":""pv-price-volume"",""name"":""Price Volume""}","[]","GROUP","TOP700","0"
"0","{""id"":""pv"",""name"":""Price Volume""}","0.2175","{""id"":""pv30"",""name"":""Alternate Industry Classification""}","1","2026-07-01","1","Continuous factor loading (exposure) on the robust industry principal component index 7 for the TOP600 universe, computed with the 513-window variant; used for statistical industry modeling","eighth_pca_component_top600_group513","2","GBR","{""id"":""pv-price-volume"",""name"":""Price Volume""}","[]","GROUP","TOP700","0"
"0","{""id"":""pv"",""name"":""Price Volume""}","0.4396","{""id"":""pv30"",""name"":""Alternate Industry Classification""}","1","2026-07-01","1","statistical industry classification","eleventh_pca_component_top1200_group513","2","GBR","{""id"":""pv-price-volume"",""name"":""Price Volume""}","[]","GROUP","TOP700","0"
"0","{""id"":""pv"",""name"":""Price Volume""}","0.2175","{""id"":""pv30"",""name"":""Alternate Industry Classification""}","1","2026-07-01","1","Continuous factor loading (exposure) on the robust industry principal component index 10 for the TOP600 universe, computed with the 513-window variant; used for statistical industry modeling","eleventh_pca_component_top600_group513","2","GBR","{""id"":""pv-price-volume"",""name"":""Price Volume""}","[]","GROUP","TOP700","0"
"0","{""id"":""pv"",""name"":""Price Volume""}","1","{""id"":""pv30"",""name"":""Alternate Industry Classification""}","1","2026-07-01","1","Cluster membership (integer label) for statistically derived industry groups, 10 clusters, for the TOP800 universe using the robust_513 methodology, FACT1 variant","factor1_group10_top800_513","2","GBR","{""id"":""pv-price-volume"",""name"":""Price Volume""}","[]","GROUP","TOP700","0"
"0","{""id"":""pv"",""name"":""Price Volume""}","1","{""id"":""pv30"",""name"":""Alternate Industry Classification""}","1","2026-07-01","1","Cluster membership (integer label) for statistically derived industry groups, 20 clusters, for the TOP800 universe using the robust_513 methodology, FACT1 variant","factor1_group20_top800_513","2","GBR","{""id"":""pv-price-volume"",""name"":""Price Volume""}","[]","GROUP","TOP700","0"
"0","{""id"":""pv"",""name"":""Price Volume""}","1","{""id"":""pv30"",""name"":""Alternate Industry Classification""}","1","2026-07-01","1","Cluster membership (integer label) for statistically derived industry groups, 2 clusters, for the TOP800 universe using the robust_513 methodology, FACT1 variant","factor1_group2_top800_513","2","GBR","{""id"":""pv-price-volume"",""name"":""Price Volume""}","[]","GROUP","TOP700","0"
"0","{""id"":""pv"",""name"":""Price Volume""}","1","{""id"":""pv30"",""name"":""Alternate Industry Classification""}","1","2026-07-01","1","Cluster membership (integer label) for statistically derived industry groups, 50 clusters, for the TOP800 universe using the robust_513 methodology, FACT1 variant","factor1_group50_top800_513","2","GBR","{""id"":""pv-price-volume"",""name"":""Price Volume""}","[]","GROUP","TOP700","0"
"0","{""id"":""pv"",""name"":""Price Volume""}","1","{""id"":""pv30"",""name"":""Alternate Industry Classification""}","1","2026-07-01","1","Cluster membership (integer label) for statistically derived industry groups, 5 clusters, for the TOP800 universe using the robust_513 methodology, FACT1 variant","factor1_group5_top800_513","2","GBR","{""id"":""pv-price-volume"",""name"":""Price Volume""}","[]","GROUP","TOP700","0"
"0","{""id"":""pv"",""name"":""Price Volume""}","1","{""id"":""pv30"",""name"":""Alternate Industry Classification""}","1","2026-07-01","1","Score for the first factor using 10 industry groupings for top 100 EAS513 securities.","factor1_grouping10_score_top100_eas513","2","GBR","{""id"":""pv-price-volume"",""name"":""Price Volume""}","[]","GROUP","TOP700","0"
