"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Specific return for the top 1200 equities in the ATS universe.","ats_top1200_equity_residualized_return","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Specific return for the top 800 equities in the ATS universe.","ats_top800_equity_residualized_return","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","First replicator value for the top 1200 equity universe using configuration 2.","cfg2_top1200_replicator1","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","VECTOR","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Second replicator value for the top 1200 equity universe using configuration 2.","cfg2_top1200_replicator2","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","VECTOR","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Daily matrix of residual (idiosyncratic) stock returns for the EUR TOP1200 universe, in percent units, after neutralizing market/country/industry and MFM1 Risk Index style factors; point-in-time D1","cfg2_top1200_residual_return","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","First replicator value for the top 600 equity universe using configuration 2.","cfg2_top600_replicator1","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","VECTOR","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Second replicator value for the top 600 equity universe using configuration 2.","cfg2_top600_replicator2","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","VECTOR","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Daily matrix of residual (idiosyncratic) stock returns for the EUR TOP600 universe, in percent units, after neutralizing market/country/industry and MFM1 Risk Index style factors; point-in-time D1","cfg2_top600_residual_return","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","First replicator value for the top 800 equity universe using configuration 2.","cfg2_top800_replicator1","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","VECTOR","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Second replicator value for the top 800 equity universe using configuration 2.","cfg2_top800_replicator2","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","VECTOR","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Daily matrix of residual (idiosyncratic) stock returns for the EUR TOP800 universe, in percent units, after neutralizing market/country/industry and MFM1 Risk Index style factors; point-in-time D1","cfg2_top800_residual_return","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Residualized return for EPP equities with minimum 1M trading volume.","epp_equity_minvol1m_residual_return","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Residualized return for EUR equities with minimum 1M trading volume.","eur_equity_minvol1m_residual_return","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Residualized return for EUR equities with minimum 1M volume, validated for current day.","eur_equity_minvol1m_residual_return_validated","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Specific return for the top 1200 equities in the selected universe.","top1200_equity_residualized_return","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Specific return for the top 1200 equities without group-based adjustments.","top1200_equity_residualized_return_nogroup","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Specific return for the top 2500 equities in the selected universe.","top2500_equity_residualized_return","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Specific return for the top 2500 equities without group-based adjustments.","top2500_equity_residualized_return_nogroup","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
"0","{""id"":""risk"",""name"":""Risk""}","0","{""id"":""risk72"",""name"":""Specific return of extended factors""}","1","2026-07-01","1","Specific return for the top 600 equities in the selected universe.","top600_equity_residualized_return","2","GBR","{""id"":""risk-risk-factors"",""name"":""Risk Factors""}","[]","MATRIX","TOP700","0"
