"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8217","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Weighted average age of loans in this group, measured in days","average_loan_duration_days","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8512","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","The weighted average age of loans in this primary key group, measured in days","average_loan_duration_days_main","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8719","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Weighted average age of loans in this group, in days","average_loan_duration_days_p5_d1","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8217","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","US dollar market value of the units lent in the transactions in this group","loaned_market_value_usd","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8512","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","USD market value of the units lent in transactions in this primary key group","loaned_market_value_usd_main","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8719","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Market value in US dollars of units lent in transactions in this group","loaned_market_value_usd_p5_d1","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8217","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Number of units (shares or par value) lent in the transactions in this group","loaned_share_count","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8512","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Number of units (shares or par value) lent in transactions in this primary key group","loaned_share_count_main","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8719","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Number of units (shares or par value) lent in transactions in this group","loaned_share_count_p5_d1","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8217","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","The standard deviation of loan rates for all transactions in this primary key group","loan_rate_volatility","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8512","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Standard deviation of loan rates across transactions in this primary key group","loan_rate_volatility_main","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8719","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Standard deviation of loan rates for transactions in this group","loan_rate_volatility_p5_d1","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8217","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","The maximum loan rate among all transactions in this primary key group","max_loan_rate","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8512","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Maximum loan rate among transactions in this group","max_loan_rate_main","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8719","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Maximum loan rate among transactions in this group","max_loan_rate_p5_d1","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8217","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","The weighted average loan rate for all transactions in this primary key group","mean_loan_rate","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8512","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Weighted average loan rate for transactions in this group","mean_loan_rate_main","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8719","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Weighted average loan rate for all transactions in this group","mean_loan_rate_p5_d1","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8217","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","The minimum loan rate among all transactions in this primary key group","min_loan_rate","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8512","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Minimum loan rate among transactions in this group","min_loan_rate_main","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8719","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Minimum loan rate among transactions in this group","min_loan_rate_p5_d1","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8669","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Borrow demand rating on a 1–10 scale for a stock (1 = relatively low demand, 10 = relatively high)","shrt3_bar","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8217","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Number of transactions included in this primary key group","transaction_count","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8512","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Number of transactions in this primary key group","transaction_count_main","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
"0","{""id"":""shortinterest"",""name"":""Short Interest""}","0.8719","{""id"":""shortinterest3"",""name"":""Securities Lending Files Data""}","1","2026-07-01","1","Number of transactions that fit this primary key group","transaction_count_p5_d1","2","GBR","{""id"":""shortinterest-short-sale-models"",""name"":""Short Sale Models""}","[]","VECTOR","TOP700","0"
