"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","14-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1)","search_interest_14d_corporate_name","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","14-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1)","search_interest_14d_equity_symbol","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","364-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1)","search_interest_1y_corporate_name","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","364-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1)","search_interest_1y_equity_symbol","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","28-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1)","search_interest_28d_corporate_name","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","28-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1)","search_interest_28d_equity_symbol","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","7-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1)","search_interest_7d_corporate_name","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","7-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1)","search_interest_7d_equity_symbol","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","84-day rolling average of daily Google Trends search-interest for company-name queries in the USA; 0–100 scale (D1)","search_interest_84d_corporate_name","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","84-day rolling average of daily Google Trends search-interest for ticker-symbol queries in the USA; 0–100 scale (D1)","search_interest_84d_equity_symbol","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","Latest complete calendar day Google Trends search-interest value for company-name queries in the USA; daily point-in-time value on Google’s 0–100 scale (D1 delay)","search_interest_today_corporate_name","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""stock_search_trends"",""name"":""US Stock Search Trend Matrix""}","1","2026-07-01","1","Latest complete calendar day Google Trends search-interest value for ticker-symbol queries in the USA; daily point-in-time value on Google’s 0–100 scale (D1 delay)","search_interest_today_equity_symbol","2","GBR","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP700","0"
